Index,ndvi
2009-05-25,0.4207
2009-06-10,0.38020000000000004
2009-06-26,0.2987
2009-07-12,0.2364
2009-07-28,0.2048
2009-08-13,0.1841
2009-08-29,0.2529
2009-09-14,0.231
2009-09-30,0.2974
2009-10-16,0.31070000000000003
2009-11-01,0.5761000000000001
2009-11-17,0.23920000000000002
2009-12-03,0.48950000000000005
2009-12-19,0.5346000000000001
2010-01-01,0.8053
2010-01-17,0.9166000000000001
2010-02-02,0.7804
2010-02-18,0.8240000000000001
2010-03-06,0.5897
2010-03-22,0.35600000000000004
2010-04-07,0.40090000000000003
2010-04-23,0.41390000000000005
2010-05-09,0.5435
2010-05-25,0.2472
2010-06-10,0.21639999999999995
2010-06-26,0.19720000000000001
2010-07-12,0.23450000000000001
2010-07-28,0.1955
2010-08-13,0.2146
2010-08-29,0.1826
2010-09-14,0.21380000000000002
2010-09-30,0.3111
2010-10-16,0.5435
2010-11-01,0.7313000000000001
2010-11-17,0.5983
2010-12-03,0.12050000000000001
2010-12-19,0.37920000000000004
2011-01-01,0.5789000000000001
2011-01-17,0.8382000000000001
2011-02-02,0.909
2011-02-18,0.908
2011-03-06,0.3388
2011-03-22,0.5235
2011-04-07,0.37570000000000003
2011-04-23,0.2994
2011-05-09,0.3246
2011-05-25,0.3547
2011-06-10,0.2995
2011-06-26,0.21450000000000002
2011-07-12,0.2122
2011-07-28,0.195
2011-08-13,0.22790000000000002
2011-08-29,0.1827
2011-09-14,0.194
2011-09-30,0.2792
2011-10-16,0.6668000000000001
2011-11-01,0.4703
2011-11-17,0.28240000000000004
2011-12-03,0.5717
2011-12-19,0.8494
2012-01-01,0.22599999999999992
2012-01-17,0.7297
2012-02-02,0.6625
2012-02-18,0.38670000000000004
2012-03-05,0.2988
2012-03-21,0.2932
2012-04-06,0.6903
2012-04-22,0.8209000000000001
2012-05-08,0.8515
2012-05-24,0.7183
2012-06-09,0.6747000000000001
2012-06-25,0.5155000000000001
2012-07-11,0.3789
2012-07-27,0.37270000000000003
2012-08-12,0.33130000000000004
2012-08-28,0.33630000000000004
2012-09-13,0.3471
2012-09-29,0.32730000000000004
2012-10-15,0.33240000000000003
2012-10-31,0.4928
2012-11-16,0.20019999999999996
2012-12-02,0.6705
2012-12-18,0.7951
2013-01-01,0.8714000000000001
2013-01-17,0.8747
2013-02-02,0.8197
2013-02-18,0.5427000000000001
2013-03-06,0.5132
2013-03-22,0.3509
2013-04-07,0.6447
2013-04-23,0.34180000000000005
2013-05-09,0.5126000000000001
2013-05-25,0.6496000000000001
2013-06-10,0.7131000000000001
2013-06-26,0.6492
2013-07-12,0.5642
2013-07-28,0.38470000000000004
2013-08-13,0.3169
2013-08-29,0.33630000000000004
2013-09-14,0.30160000000000003
2013-09-30,0.31020000000000003
2013-10-16,0.3508
2013-11-01,0.2821
2013-11-17,0.5794
2013-12-03,0.5793999999999999
2013-12-19,0.9074000000000001
2014-01-01,0.9337000000000001
2014-01-17,0.9167000000000001
2014-02-02,0.8209000000000001
2014-02-18,0.257
2014-03-06,0.4429
2014-03-22,0.3498
2014-04-07,0.6602
2014-04-23,0.4294
2014-05-09,0.3472
2014-05-25,0.6364000000000001
2014-06-10,0.5880000000000001
2014-06-26,0.5942000000000001
2014-07-12,0.4738
2014-07-28,0.5009
2014-08-13,0.38670000000000004
2014-08-29,0.3794
2014-09-14,0.5207
2014-09-30,0.6186
2014-10-16,0.6019
2014-11-01,0.5866
2014-11-17,0.4787
2014-12-03,0.38530000000000003
