ISO3_CODE,COUNTRY_NAME,AREA_SUM,AREA_MEAN,N_POLYGONS
CHN,China,4838.79169654539,1.2760526625910837,3792
IDN,Indonesia,3313.9460544981584,3.774426030180135,878
AUS,Australia,2951.8916115366587,5.903783223073318,500
RUS,Russian Federation,2588.5226774406333,2.948203505057669,878
USA,United States,2410.5821374265915,1.579673746675355,1526
ZAF,South Africa,1432.520417097778,2.576475570319744,556
IND,India,1334.2323479100412,2.5365633990685197,526
CAN,Canada,838.7081624945176,5.591387749963451,150
KAZ,Kazakhstan,526.491846876105,5.915638728945,89
DEU,Germany,524.6245183066036,7.186637237076761,73
UKR,Ukraine,395.02957621830694,0.6628013023797097,596
COL,Colombia,374.8419154388273,5.206137714428157,72
MNG,Mongolia,284.0024238899197,2.406800202456947,118
POL,Poland,243.90456897206255,1.6152620461725997,151
TUR,Turkey,213.51547582122478,5.083701805267257,42
GRC,Greece,164.54755856915932,11.753397040654237,14
VNM,Vietnam,154.74244882891878,3.0948489765783758,50
BGR,Bulgaria,153.6778563353715,4.957350204366822,31
ROU,Romania,149.22210205646235,3.31604671236583,45
THA,Thailand,118.56843239766674,11.856843239766675,10
GBR,United Kingdom,117.96157434105417,0.8803102562765237,134
CZE,Czechia,117.03275831216803,3.000839956722257,39
SRB,Serbia,93.08018658276477,1.1635023322845597,80
MOZ,Mozambique,71.16071745938854,2.9650298941411886,24
HUN,Hungary,59.80133904796382,0.7382881363946151,81
ZWE,Zimbabwe,59.65557744734582,3.9770384964897216,15
NZL,New Zealand,55.16235253535373,0.5060766287647132,109
ESP,Spain,50.75838448364743,0.7930997575569911,64
BRA,Brazil,49.9858386703398,0.8618248046610311,58
PHL,Philippines,47.95898016087402,1.6537579365818629,29
UZB,Uzbekistan,44.45185453655417,4.445185453655418,10
MEX,Mexico,36.16587814480242,1.3394769683260155,27
VEN,Venezuela,26.946256198143285,13.473128099071642,2
MKD,North Macedonia,24.79133673342423,4.131889455570705,6
KGZ,Kyrgyzstan,22.758206828854675,1.1379103414427338,20
CHL,Chile,18.004108894750257,3.0006848157917094,6
ZMB,Zambia,17.496581902304918,2.916096983717486,6
IRN,Iran,17.416225795591807,0.6005595101928208,29
PER,Peru,8.617327282807631,0.7833933893461482,11
EGY,Egypt,8.27695458766799,2.7589848625559967,3
BWA,Botswana,7.936143040109694,0.3174457216043877,25
"NAM",Namibia,7.7060210579629205,1.5412042115925841,5
BIH,Bosnia and Herzegovina,7.2711701368119375,7.2711701368119375,1
ITA,Italy,6.213013692353878,0.5177511410294899,12
TZA,United Republic of Tanzania,5.141258638347505,0.34275057588983365,15
NGA,Nigeria,4.989620551899456,0.623702568987432,8
PRK,North Korea,4.1901566180064735,0.41901566180064737,10
MMR,Myanmar/Burma,4.027033419623573,2.0135167098117863,2
PRT,Portugal,4.00029017012153,0.28573501215153785,14
MWI,Malawi,3.9086925075415566,0.9771731268853892,4
AFG,Afghanistan,3.2668068964922026,0.4666866994988861,7
COD,Democratic Republic of The Congo,3.2109553729308806,1.0703184576436269,3
MYS,Malaysia,3.0797249698433244,0.5132874949738875,6
ARG,Argentina,2.626017866898939,0.23872889699081265,11
SVK,Slovakia,2.4467828302684778,0.1439284017804987,17
MAR,Morocco,2.147231748942567,2.147231748942567,1
SVN,Slovenia,1.7450378013291257,0.4362594503322814,4
PAK,Pakistan,1.7305447215936873,0.12361033725669196,14
TJK,Tajikistan,1.6937449838047276,0.5645816612682425,3
BEL,Belgium,1.6001926569118348,0.8000963284559174,2
NLD,Netherlands,1.416735828209866,0.17709197852623326,8
FRA,France,1.323430035206902,0.661715017603451,2
BGD,Bangladesh,1.272217974874826,0.636108987437413,2
GEO,Georgia,0.46739924472326777,0.11684981118081694,4
SWZ,Eswatini,0.2682684194516521,0.2682684194516521,1
AUT,Austria,0.19474078236269662,0.06491359412089888,3
PNG,Papua New Guinea,0.1629153539030227,0.1629153539030227,1
