Index,ndvi
2009-04-07,0.43410000000000004
2009-04-23,0.666
2009-05-09,0.6743
2009-05-25,0.6015
2009-06-10,0.44730000000000003
2009-06-26,0.36360000000000003
2009-07-12,0.29660000000000003
2009-07-28,0.30920000000000003
2009-08-13,0.2869
2009-08-29,0.3047
2009-09-14,0.4282
2009-09-30,0.5858
2009-10-16,0.524
2009-11-01,0.3507
2009-11-17,0.5704
2009-12-03,0.8751
2009-12-19,0.8932
2010-01-01,0.9122
2010-01-17,0.4635
2010-02-02,0.2783
2010-02-18,0.33190000000000003
2010-03-06,0.8275
2010-03-22,0.5162
2010-04-07,0.8403
2010-04-23,0.7322000000000001
2010-05-09,0.4441
2010-05-25,0.3834
2010-06-10,0.3597
2010-06-26,0.3154
2010-07-12,0.3272
2010-07-28,0.2823
2010-08-13,0.28
2010-08-29,0.2757
2010-09-14,0.2887
2010-09-30,0.2929
2010-10-16,0.28
2010-11-01,0.3854
2010-11-17,0.41960000000000003
2010-12-03,0.3412
2010-12-19,0.6728000000000001
2011-01-01,0.8194
2011-01-17,0.8891
2011-02-02,0.9359000000000001
2011-02-18,0.8276
2011-03-06,0.2439
2011-03-22,0.45880000000000004
2011-04-07,0.6389
2011-04-23,0.6588
2011-05-09,0.6862
2011-05-25,0.40240000000000004
2011-06-10,0.34
2011-06-26,0.3486
2011-07-12,0.3195
2011-07-28,0.3109
2011-08-13,0.30670000000000003
2011-08-29,0.28
2011-09-14,0.2654
2011-09-30,0.3682
2011-10-16,0.7138
2011-11-01,0.3035
2011-11-17,0.45530000000000004
2011-12-03,0.7519
2011-12-19,0.906
2012-01-01,0.5725
2012-01-17,0.8601000000000001
2012-02-02,0.8577
2012-02-18,0.34440000000000004
2012-03-05,0.2702
2012-03-21,0.6818000000000001
2012-04-06,0.8510000000000001
2012-04-22,0.8288000000000001
2012-05-08,0.7614000000000001
2012-05-24,0.6358
2012-06-09,0.4616
2012-06-25,0.3526
2012-07-11,0.337
2012-07-27,0.2897
2012-08-12,0.28250000000000003
2012-08-28,0.28750000000000003
2012-09-13,0.29410000000000003
2012-09-29,0.2807
2012-10-15,0.327
2012-10-31,0.3161
2012-11-16,0.397
2012-12-02,0.5049
2012-12-18,0.8667
2013-01-01,0.6732
2013-01-17,0.9216000000000001
2013-02-02,0.8262
2013-02-18,0.4817
2013-03-06,0.3808
2013-03-22,0.4213
2013-04-07,0.5406000000000001
2013-04-23,0.4338
2013-05-09,0.3724
2013-05-25,0.33180000000000004
2013-06-10,0.3985
2013-06-26,0.3612
2013-07-12,0.3355
2013-07-28,0.3049
2013-08-13,0.2878
2013-08-29,0.2904
2013-09-14,0.2545
2013-09-30,0.271
2013-10-16,0.306
2013-11-01,0.3526
2013-11-17,0.4888
2013-12-03,0.7221000000000001
2013-12-19,0.9186000000000001
2014-01-01,0.9456
2014-01-17,0.9171
2014-02-02,0.7451
2014-02-18,0.23090000000000002
2014-03-06,0.39140000000000014
2014-03-22,0.4117
2014-04-07,0.7301000000000001
2014-04-23,0.6836
2014-05-09,0.743
2014-05-25,0.625
2014-06-10,0.49620000000000003
2014-06-26,0.39680000000000004
2014-07-12,0.3602
2014-07-28,0.36200000000000004
2014-08-13,0.3371
2014-08-29,0.3033
2014-09-14,0.3657
2014-09-30,0.5429
2014-10-16,0.5746
2014-11-01,0.339
2014-11-17,0.6271
2014-12-03,0.3453
2014-12-19,0.8937
2015-01-01,0.9081
2015-01-17,0.8864000000000001
2015-02-02,0.8546
2015-02-18,0.6011000000000001
2015-03-06,0.5315
2015-03-22,0.6223000000000001
2015-04-07,0.762
