Time,NDVI,latitude,longitude
2000-02-18,0.8626,-12.332547846815746,-52.45200579316239
2000-03-05,0.86240000000000006,-12.332547846815746,-52.45200579316239
2000-03-21,0.8209000000000001,-12.332547846815746,-52.45200579316239
2000-04-06,0.8591000000000001,-12.332547846815746,-52.45200579316239
2000-04-22,0.8540000000000001,-12.332547846815746,-52.45200579316239
2000-05-08,0.8258000000000001,-12.332547846815746,-52.45200579316239
2000-05-24,0.8353,-12.332547846815746,-52.45200579316239
2000-06-09,0.8469,-12.332547846815746,-52.45200579316239
2000-06-25,0.8497,-12.332547846815746,-52.45200579316239
2000-07-11,0.8524,-12.332547846815746,-52.45200579316239
2000-07-27,0.8593000000000001,-12.332547846815746,-52.45200579316239
2000-08-12,0.8575,-12.332547846815746,-52.45200579316239
2000-08-28,0.8492000000000001,-12.332547846815746,-52.45200579316239
2000-09-13,0.8661000000000001,-12.332547846815746,-52.45200579316239
2000-09-29,0.874,-12.332547846815746,-52.45200579316239
2000-10-15,0.8141,-12.332547846815746,-52.45200579316239
2000-10-31,0.5812,-12.332547846815746,-52.45200579316239
2000-11-16,0.8423,-12.332547846815746,-52.45200579316239
2000-12-02,0.8994000000000001,-12.332547846815746,-52.45200579316239
2000-12-18,0.8463,-12.332547846815746,-52.45200579316239
2001-01-01,0.8463,-12.332547846815746,-52.45200579316239
2001-01-17,0.8509,-12.332547846815746,-52.45200579316239
2001-02-02,0.8559,-12.332547846815746,-52.45200579316239
2001-02-18,0.8389000000000001,-12.332547846815746,-52.45200579316239
2001-03-06,0.8318000000000001,-12.332547846815746,-52.45200579316239
2001-03-22,0.8619,-12.332547846815746,-52.45200579316239
2001-04-07,0.859,-12.332547846815746,-52.45200579316239
2001-04-23,0.8535,-12.332547846815746,-52.45200579316239
2001-05-09,0.8502000000000001,-12.332547846815746,-52.45200579316239
2001-05-25,0.868,-12.332547846815746,-52.45200579316239
2001-06-10,0.8656,-12.332547846815746,-52.45200579316239
2001-06-26,0.8497,-12.332547846815746,-52.45200579316239
2001-07-12,0.8572000000000001,-12.332547846815746,-52.45200579316239
2001-07-28,0.8515,-12.332547846815746,-52.45200579316239
2001-08-13,0.8622000000000001,-12.332547846815746,-52.45200579316239
2001-08-29,0.8757,-12.332547846815746,-52.45200579316239
2001-09-14,0.8597,-12.332547846815746,-52.45200579316239
2001-09-30,0.8632000000000001,-12.332547846815746,-52.45200579316239
2001-10-16,0.8637,-12.332547846815746,-52.45200579316239
2001-11-01,0.8362,-12.332547846815746,-52.45200579316239
2001-11-17,0.4923,-12.332547846815746,-52.45200579316239
2001-12-03,0.8024,-12.332547846815746,-52.45200579316239
2001-12-19,0.6667000000000001,-12.332547846815746,-52.45200579316239
2002-01-01,0.8463,-12.332547846815746,-52.45200579316239
2002-01-17,0.8287,-12.332547846815746,-52.45200579316239
2002-02-02,0.8467,-12.332547846815746,-52.45200579316239
2002-02-18,0.8392000000000001,-12.332547846815746,-52.45200579316239
2002-03-06,0.8314,-12.332547846815746,-52.45200579316239
2002-03-22,0.8484,-12.332547846815746,-52.45200579316239
2002-04-07,0.8569,-12.332547846815746,-52.45200579316239
2002-04-23,0.8542000000000001,-12.332547846815746,-52.45200579316239
2002-05-09,0.8559,-12.332547846815746,-52.45200579316239
2002-05-25,0.8726,-12.332547846815746,-52.45200579316239
2002-06-10,0.8548,-12.332547846815746,-52.45200579316239
2002-06-26,0.863,-12.332547846815746,-52.45200579316239
2002-07-12,0.8548,-12.332547846815746,-52.45200579316239
2002-07-28,0.8584,-12.332547846815746,-52.45200579316239
2002-08-13,0.864,-12.332547846815746,-52.45200579316239
2002-08-29,0.8583000000000001,-12.332547846815746,-52.45200579316239
2002-09-14,0.8537,-12.332547846815746,-52.45200579316239
2002-09-30,0.8180000000000001,-12.332547846815746,-52.45200579316239
2002-10-16,0.8126,-12.332547846815746,-52.45200579316239
2002-11-01,0.8554,-12.332547846815746,-52.45200579316239
2002-11-17,0.8502000000000001,-12.332547846815746,-52.45200579316239
2002-12-03,0.8432000000000001,-12.332547846815746,-52.45200579316239
2002-12-19,0.8684000000000001,-12.332547846815746,-52.45200579316239
2003-01-01,0.8617,-12.332547846815746,-52.45200579316239
2003-01-17,0.6566000000000001,-12.332547846815746,-52.45200579316239
2003-02-02,0.8693000000000001,-12.332547846815746,-52.45200579316239
2003-02-18,0.8074,-12.332547846815746,-52.45200579316239
2003-03-06,0.3282,-12.332547846815746,-52.45200579316239
2003-03-22,0.8439000000000001,-12.332547846815746,-52.45200579316239
2003-04-07,0.8288000000000001,-12.332547846815746,-52.45200579316239
2003-04-23,0.8490000000000001,-12.332547846815746,-52.45200579316239
2003-05-09,0.8456,-12.332547846815746,-52.45200579316239
2003-05-25,0.8611000000000001,-12.332547846815746,-52.45200579316239
2003-06-10,0.8436,-12.332547846815746,-52.45200579316239
2003-06-26,0.8349000000000001,-12.332547846815746,-52.45200579316239
2003-07-12,0.8539,-12.332547846815746,-52.45200579316239
2003-07-28,0.8506,-12.332547846815746,-52.45200579316239
2003-08-13,0.8638,-12.332547846815746,-52.45200579316239
2003-08-29,0.8447,-12.332547846815746,-52.45200579316239
2003-09-14,0.8633000000000001,-12.332547846815746,-52.45200579316239
2003-09-30,0.8539,-12.332547846815746,-52.45200579316239
2003-10-16,0.8326,-12.332547846815746,-52.45200579316239
2003-11-01,0.8671000000000001,-12.332547846815746,-52.45200579316239
2003-11-17,0.8266,-12.332547846815746,-52.45200579316239
2003-12-03,0.5487000000000001,-12.332547846815746,-52.45200579316239
